video,joint,frame_since_strike,cycle_mean_deg,norm_mean_deg,delta_deg,inlier_cycle_count,total_cycle_count,max_cycle_length
2,right_ankle,81,111.2350248560061,-0.7998072289156657,112.03483208492177,4,8,166
2,right_ankle,82,111.68278902658213,-1.7409036144578396,113.42369264103996,4,8,166
2,right_ankle,83,112.14936455176056,-2.6850000000000067,114.83436455176056,4,8,166
2,right_ankle,84,112.63447140069604,-3.628325301204823,116.26279670190087,4,8,166
2,right_ankle,85,113.13753636923235,-4.564650602409639,117.70218697164199,4,8,166
2,right_ankle,86,113.65895760204202,-5.49143373493976,119.15039133698178,4,8,166
2,right_ankle,87,114.19800195828796,-6.408078313253019,120.60608027154097,4,8,166
2,right_ankle,88,114.75241021249295,-7.299180722891571,122.05159093538452,4,8,166
2,right_ankle,89,115.31958666607986,-8.178500000000003,123.49808666607986,4,8,166
2,right_ankle,90,115.89746852100993,-9.02,124.91746852100992,4,8,166
2,right_ankle,91,116.48374988752434,-9.836289156626506,126.32003904415085,4,8,166
2,right_ankle,92,117.07606361026862,-10.622325301204825,127.69838891147344,4,8,166
2,right_ankle,93,117.67086814297392,-11.356873493975908,129.02774163694983,4,8,166
2,right_ankle,94,118.26384340577219,-12.068698795180724,130.33254220095293,4,8,166
2,right_ankle,95,118.85182873791206,-12.709216867469879,131.56104560538193,4,8,166
2,right_ankle,96,119.43116246673766,-13.311530120481928,132.74269258721958,4,8,166
2,right_ankle,97,119.99779348297992,-13.861993975903617,133.85978745888355,4,8,166
2,right_ankle,98,120.54690706702569,-14.335783132530123,134.8826901995558,4,8,166
2,right_ankle,99,121.07138912186267,-14.775656626506025,135.84704574836869,4,8,166
2,right_ankle,100,121.56902910000275,-15.110228915662654,136.6792580156654,4,8,166
2,right_ankle,101,122.03574061985127,-15.400162650602413,137.43590327045368,4,8,166
2,right_ankle,102,122.46757764465553,-15.62142168674699,138.08899933140253,4,8,166
2,right_ankle,103,122.86079290274644,-15.766975903614458,138.6277688063609,4,8,166
2,right_ankle,104,123.21023380069303,-15.878698795180723,139.08893259587376,4,8,166
2,right_ankle,105,123.50604989221702,-15.895993975903615,139.40204386812064,4,8,166
2,right_ankle,106,123.75261064630945,-15.880975903614457,139.6335865499239,4,8,166
2,right_ankle,107,123.94837267304354,-15.809409638554216,139.75778231159777,4,8,166
2,right_ankle,108,124.09208733032168,-15.681722891566265,139.77381022188794,4,8,166
2,right_ankle,109,124.18304512136187,-15.527710843373493,139.71075596473537,4,8,166
2,right_ankle,110,124.22108513806634,-15.301084337349396,139.52216947541575,4,8,166
2,right_ankle,111,124.1983423088024,-15.053385542168673,139.25172785097106,4,8,166
2,right_ankle,112,124.12497248359587,-14.763542168674697,138.88851465227057,4,8,166
2,right_ankle,113,124.00277571660214,-14.43728313253012,138.44005884913227,4,8,166
2,right_ankle,114,123.83267157950334,-14.09197590361446,137.9246474831178,4,8,166
2,right_ankle,115,123.6191950065499,-13.701674698795179,137.32086970534507,4,8,166
2,right_ankle,116,123.36588724370225,-13.299060240963852,136.6649474846661,4,8,166
2,right_ankle,117,123.0723275466525,-12.870259036144578,135.94258658279708,4,8,166
2,right_ankle,118,122.74792507142564,-12.423530120481924,135.17145519190757,4,8,166
2,right_ankle,119,122.39760531160806,-11.966102409638548,134.3637077212466,4,8,166
2,right_ankle,120,122.02581796492309,-11.490554216867466,133.51637218179056,4,8,166
2,right_ankle,121,121.6371205494708,-11.010951807228912,132.6480723566997,4,8,166
2,right_ankle,122,121.2357445432615,-10.523108433734938,131.75885297699645,4,8,166
2,right_ankle,123,120.8270107291637,-10.034198795180721,130.86120952434442,4,8,166
2,right_ankle,124,120.41763171173291,-9.544566265060237,129.96219797679314,4,8,166
2,right_ankle,125,120.01227119294064,-9.060415662650598,129.07268685559126,4,8,166
2,right_ankle,126,119.61497866402695,-8.580650602409637,128.19562926643658,4,8,166
2,right_ankle,127,119.22973824607658,-8.113084337349397,127.34282258342597,4,8,166
2,right_ankle,128,118.8602972931107,-7.659012048192771,126.51930934130348,4,8,166
2,right_ankle,129,118.51290710654956,-7.215301204819279,125.72820831136885,4,8,166
2,right_ankle,130,118.18988335122475,-6.800746987951807,124.99063033917656,4,8,166
2,right_ankle,131,117.89313670351629,-6.398819277108432,124.29195598062472,4,8,166
2,right_ankle,132,117.62501192267872,-6.030253012048188,123.65526493472692,4,8,166
2,right_ankle,133,117.38737110243551,-5.688506024096383,123.07587712653189,4,8,166
2,right_ankle,134,117.18194369649599,-5.3700361445783145,122.55197984107431,4,8,166
2,right_ankle,135,117.01324405648157,-5.102771084337349,122.11601514081892,4,8,166
2,right_ankle,136,116.88127647377316,-4.856192771084336,121.7374692448575,4,8,166
2,right_ankle,137,116.78471321873592,-4.664753012048191,121.44946623078411,4,8,166
2,right_ankle,138,116.72413170377096,-4.512168674698795,121.23630037846976,4,8,166
2,right_ankle,139,116.70000962838716,-4.39766265060241,121.09767227898958,4,8,166
2,right_ankle,140,116.71456576238361,-4.353301204819277,121.06786696720289,4,8,166
2,right_ankle,141,116.76728909513501,-4.337668674698795,121.1049577698338,4,8,166
2,right_ankle,142,116.85789147819415,-4.401481927710844,121.259373405905,4,8,166
2,right_ankle,143,116.98334635531171,-4.513993975903616,121.49734033121533,4,8,166
2,right_ankle,144,117.14261237564725,-4.680385542168675,121.82299791781593,4,8,166
2,right_ankle,145,117.33456803223298,-4.9343433734939754,122.26891140572695,4,8,166
2,right_ankle,146,117.55736343996605,-5.2249277108433745,122.78229115080943,4,8,166
2,right_ankle,147,117.80979467298445,-5.620331325301208,123.43012599828566,4,8,166
2,right_ankle,148,118.09068882806886,-6.072457831325305,124.16314665939417,4,8,166
2,right_ankle,149,118.39517964625144,-6.595487951807226,124.99066759805866,4,8,166
2,right_ankle,150,118.71893592709233,-7.222903614457829,125.94183954155017,4,8,166
2,right_ankle,151,119.05849127746586,-7.8950843373494,126.95357561481526,4,8,166
2,right_ankle,152,119.41016027570458,-8.699012048192778,128.10917232389735,4,8,166
2,right_ankle,153,119.77035706562555,-9.566168674698808,129.33652574032436,4,8,166
2,right_ankle,154,120.13522856686274,-10.522771084337368,130.6579996512001,4,8,166
2,right_ankle,155,120.49918281877598,-11.598548192771098,132.09773101154707,4,8,166
2,right_ankle,156,120.85773716433027,-12.727036144578316,133.58477330890858,4,8,166
2,right_ankle,157,121.20703279938701,-14.01463253012049,135.2216653295075,4,8,166
2,right_ankle,158,121.5431746140263,-15.37090361445785,136.91407822848416,4,8,166
2,right_ankle,159,121.86269310591152,-16.837415662650628,138.70010876856213,4,8,166
2,right_ankle,160,122.16096867256604,-18.435915662650622,140.59688433521666,4,8,166
2,right_ankle,161,122.43577975064814,-20.095024096385547,142.5308038470337,4,8,166
2,right_ankle,162,122.68460761219197,-21.943819277108446,144.6284268893004,4,8,166
2,right_ankle,163,122.90526715100359,-23.864933734939783,146.77020088594338,4,8,166
2,right_ankle,164,123.09591174466074,-25.918289156626543,149.01420090128727,4,8,166
2,right_ankle,165,123.25503303436929,-28.11533132530123,151.37036435967053,4,8,166
